Company Name,Industry,Symbol
Adani Enterprises Ltd.,Metals & Mining,ADANIENT
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP
Asian Paints Ltd.,Consumer Durables,ASIANPAINT
Axis Bank Ltd.,Financial Services,AXISBANK
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO
Bajaj Finance Ltd.,Financial Services,BAJFINANCE
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA
Cipla Ltd.,Healthcare,CIPLA
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA
Divi's Laboratories Ltd.,Healthcare,DIVISLAB
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT
Grasim Industries Ltd.,Construction Materials,GRASIM
HCL Technologies Ltd.,Information Technology,HCLTECH
HDFC Bank Ltd.,Financial Services,HDFCBANK
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO
Hindalco Industries Ltd.,Metals & Mining,HINDALCO
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR
Housing Development Finance Corporation Ltd.,Financial Services,HDFC
ICICI Bank Ltd.,Financial Services,ICICIBANK
ITC Ltd.,Fast Moving Consumer Goods,ITC
IndusInd Bank Ltd.,Financial Services,INDUSINDBK
Infosys Ltd.,Information Technology,INFY
JSW Steel Ltd.,Metals & Mining,JSWSTEEL
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK
Larsen & Toubro Ltd.,Construction,LT
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI
NTPC Ltd.,Power,NTPC
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC
Power Grid Corporation of India Ltd.,Power,POWERGRID
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE
State Bank of India,Financial Services,SBIN
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA
Tata Consultancy Services Ltd.,Information Technology,TCS
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS
Tata Steel Ltd.,Metals & Mining,TATASTEEL
Tech Mahindra Ltd.,Information Technology,TECHM
Titan Company Ltd.,Consumer Durables,TITAN
UPL Ltd.,Chemicals,UPL
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO
Wipro Ltd.,Information Technology,WIPRO